,shopcode,shopname,shoplat,shoplng
7371,a6iu,口吅品平價牛排 (竹北三民店),24.83420695,121.0099884
7372,xnmi,85度C (楠梓建楠店),22.72692342,120.32754527
7373,tsj6,亭語美食,24.5649395,120.8218683
7374,s5cm,晨間廚房 (鳳山過埤店),22.5882353,120.3607614
7375,zu6a,津湯麵點,23.1601989,120.175072
7376,uwzl,韓食研究所,25.0619461,121.6538054
7377,bgqu,拉亞漢堡 (北市行善店),25.0565817,121.5754583
7378,e6vk,6吋盤早午餐 (高雄泰順店),22.63146942,120.31802855
7379,c3bh,肯德基KFC甜點專賣店 (新竹竹北店),24.82639303,121.01072625
7380,f9pb,緯兒餐桌早午餐,23.5456539,120.46093155
7381,ijci,鳳麟粥飯麵食館 (苗栗竹南店),24.68356455,120.872759
7382,na3q,黃爺中西式餐點,23.18368416,120.24916241
7383,pq37,吮指王KING (龍潭中豐店),24.83869219,121.20935765
7384,ua4i,鬧天Lu加熱滷味 (板橋莒光店),25.0242629,121.4702331
7385,syrl,馥御早餐店,24.0921039,120.485811
7386,dnsr,倉麵屋,23.97892908,121.6060116
7387,d3tk,老窩咖啡館 (平鎮環南店),24.9517998,121.2064591
7388,e0we,那個來紅豆湯,22.63187825,120.3400479
7389,zmxs,肯德基KFC甜點專賣店 (淡水中山二店),25.1696642,121.44452215
7390,r234,永和豆漿 (台北西門店),25.0452322,121.5081941
7391,galh,柳英越南小吃,24.1398752,120.6839622
7392,f1bh,火冒三丈-成都冒菜火鍋,25.0176323,121.4277032
7393,jg6o,太極紅茶專賣店 (竹北光明店),24.8307043,121.0078963
7394,qlfr,早安山丘 (湖內東方店),22.8800882,120.24909274
7395,iwn8,大坑口清蒸肉圓,24.17019376,120.69976155
7396,oypi,1898古早味蛋餅,22.625246,120.3082208
7397,gb1i,安鎮韓式海苔飯捲,23.70704429,120.43502901
7398,fed0,老葉牛肉 (新北創始店),25.0319124,121.43379225
7399,f0jn,小可孟精緻早午餐,24.97035345,121.22395533
7400,p615,Louisa 路易莎 (台中漢翔店),24.1840669,120.6448437
7401,z6fi,Pizza Hut必勝客 (淡水新市店),25.1829312,121.44790732
7402,o74w,百年潮膳快炒 (新北汐止店),25.0645199,121.63304835
7403,vdaz,初牧乳飲製造所 (小港大鵬店),22.56752987,120.35839045
7404,z6sd,Pizza Hut必勝客 (基隆長庚店),25.11910815,121.72340895
7405,bfv0,鮮茶道 (鹽行中正店),23.03990395,120.2388731
7406,kol8,雪記自助冰城,24.9943295,121.3384979
7407,mvty,唆唆螺螺螄粉專賣店 (楠梓德民店),22.72001181,120.2887083
7408,znpa,Doxie Brunch,24.69150419,120.90310672
7409,t2ll,車站美香齋滷味 (基隆創始店),25.13118425,121.740274
7410,zarg,時勝日式專門,24.4416807,120.65157165
7411,lo4f,天慈素食  (大雅中清店),24.22877352,120.65328465
7412,qgpm,餃仙水餃,24.43805978,120.6484201
7413,q7gc,品味現製素麵館,22.9663335,120.29402
7414,bvv8,清原芋圓 (南京東店),25.052578,121.5468562
7415,y6xw,大台中大腸麵線,24.1408505,120.67982472
7416,a0no,超大杯甜品屋,25.0673724,121.66280155
7417,m4ve,KiÊU NGA 河內河粉,23.07900917,120.29391425
7418,oypl,曾記米苔目,24.95894893,121.20595642
7419,nqsu,萬波島嶼紅茶 (桃園大園店),25.0645255,121.1971952
7420,z7bb,迷客夏 Milksha (新北泰山店),25.05378363,121.4301389
7421,nvtx,宮後多食,25.06577,121.1966783
7422,jwwt,麥飯糰,25.13739817,121.50404278
7423,z62t,二三三,22.61178261,120.3327383
7424,f4xf,合浦刀切麵食工坊 (大園大觀店),25.0646548,121.1812759
7425,w8ei,馬友友印度廚房 (MIK-2) (台北民生店),25.0579833,121.5446996
7426,e7bp,彌敦道茶餐廳 (誠品板橋店),25.0087809,121.46080165
7427,f3vn,摩斯漢堡Mos Burger (新北泰山全興店),25.0564519,121.4339896
7428,dvlb,氛饗食堂,24.56410442,120.81777644
7429,o6fk,拉亞漢堡 (西螺光復店),23.7971513,120.4632704
7430,xib5,原初燒烤,25.17845456,121.4482626
7431,h7zc,好了啦紅茶冰 (清水五權南店),24.2739733,120.558665
