,shopcode,shopname,shoplat,shoplng
0,abmy,上紅小火鍋 (新莊中港店),25.0531908,121.45147382
1,quv4,淺草堂黑糖粉圓專賣店 (花蓮自強夜市店),23.97085237,121.61001368
2,zw2g,百盛咖哩 (新竹金山店),24.7768648,121.0214004
3,a0cp,6吋盤早午餐 (高雄楠梓朝明店),22.72506336,120.32881148
4,ygpt,清心福全 (芎林文山店),24.7770514,121.0777665
5,m6cd,Pizza Hut必勝客 (苗栗苑裡店),24.44177118,120.65105704
6,z8yj,鮮茶道 (鼎山明誠店),22.65967475,120.32198775
7,s8gf,鹿工現炒,24.07655869,120.41182442
8,cpw1,Sunrise Cafe커피,23.0044264,120.2156797
9,q9nf,津菁炒飯 (板橋四維館),25.0295074,121.4626876
10,p6p2,仙鼎廣東粥 (台南鹽行店),23.0400257,120.2387678
11,ywbd,佳 鹿港肉圓芋丸,23.16237021,120.17647451
12,wqp1,騰之雞排專門店 (大社金龍店),22.7299602,120.353846
13,kxr2,全羅道正宗石鍋飯,24.8346581,121.0074804
14,fzpl,北味香永和豆漿,25.0665891,121.6554848
15,x6eh,厚食雞蛋糕,24.90272755,121.04636206
16,w0ck,麗媽香香鍋 (新北三重三和店),25.06752381,121.50045305
17,rxe6,植作茶 無咖啡因飲品專賣,24.14670116,120.65453175
18,xrhm,北回木瓜牛奶 (台中逢甲總店),24.17585292,120.6452872
19,i2b7,程記美食館(排骨酥/雞肉飯/魯肉飯),25.06031434,121.48785865
20,wsyi,蛋白盒子健康低卡餐盒 (雲林虎尾店),23.7100087,120.4382274
21,lqjt,騰園旺角燒臘店,25.0563006,121.4308168
22,o3vz,藥膳食補,24.9675728,121.517892
23,fmqh,季洋咖啡 (仁武中正吧),22.70214685,120.34996392
24,zsex,悟饕池上飯包 (彰化溪湖店),23.9592488,120.4774704
25,u1mh,陳家炒飯炒麵,23.45720391,120.4744455
26,u5oh,福美香鍋燒意麵,25.0762337,121.48412148
27,mb6x,渴望茶飲 (桃園南園店),24.9717816,121.2349669
28,z4hs,食宣小館,24.68647374,120.90878737
29,vec5,168早午餐,25.10028235,121.7368289
30,z5wt,檸檬愛玉&古早味豬血糕,22.99151449,120.19701754
31,r88r,加 樂咖哩丼飯 (新北新莊店),25.05050989,121.45209935
32,yqtx,億品城桶仔雞,23.00148245,120.16760739
33,d2gr,Mister Donut (員林大潤發店),23.9477815,120.563429
34,ljvh,海威水產,25.0841277,121.4793348
35,ffd4,石一籠湯包 (鳳山埤頂店),22.629104,120.38161
36,tjvl,橘子工坊 (忠孝敦化總店),25.04162553,121.54800308
37,zznr,兩津搞烏龍 (內壢店),24.96714432,121.26049873
38,uuej,冰心茶韻,23.9567761,120.5832794
39,boqa,騰手作料理壽司專賣店,23.79951,120.459232
40,j7jn,Zhan wei早午餐,22.6142191,120.3085067
41,z7we,竹蒸籠包子,24.96243701,121.2961868
42,w5o2,寓葉 咖喱專賣,24.803392,120.9577017
43,a2b4,野小2早餐店,24.981865,121.50662657
44,wm4r,芋見綠豆 (高雄楠梓店),22.7285448,120.3295034
45,bi2v,哈囉台式炒飯,23.04341957,120.26253255
46,d6ss,八方雲集 (草屯虎山店),23.9784603,120.685844
47,yhvl,老客馥粥品 (神岡大漢店),24.2531246,120.6983147
48,ty2p,秘境職人茶飲 (台南安富店),23.0258208,120.1921711
49,mhb3,金正好吃 (新北景平店),24.9918633,121.5168334
50,yble,麗麗豬腳飯 (泰山明志店),25.0409045,121.42504392
51,dayf,加顆蛋早午餐 Eplus CAFE’,23.4768587,120.4603953
52,fhde,多那之 (高雄漢神門市),22.6202537,120.2971383
53,uzw8,蘭陽多朗克,25.17524138,121.44645185
54,d2df,永和豆漿 (台北和平店),25.02253075,121.5504177
55,d8il,佛羅倫斯義法料理餐廳,24.1881413,120.59425839
56,chhp,K.S Food Court,25.17647027,121.44743785
57,a8hw,牛栽麵,22.7108345,120.29246994
58,qerz,益全便當,24.70213212,120.90124397
59,gzow,黃記古早味紅茶,25.12769672,121.74134669
60,ytiq,哦嗨呦早午餐,24.15973998,120.665879
61,v8ox,微笑的魚 (桃園龍岡分店),24.93394885,121.2562247
62,a3eq,晨間廚房 (虎尾林森店),23.7120381,120.4363729
63,e9n8,拉亞漢堡 (龍井東海店),24.1822785,120.59263963
64,b2dj,胖老爹美式炸雞 (彰化花壇店),24.0279202,120.5473407
65,b1d5,cama café (基隆仁愛店),25.1282661,121.74573915
66,k7ty,六十滷炒泡麵(龍潭店),24.86518083,121.21378607
67,tt7q,Q Burger 早午餐 (潮州中山店),22.5496032,120.5388358
68,uuzs,吳爺爺牛羊肉麵、手工水餃,23.9927191,121.5753083
69,d8py,森本日式和風洋食堂,22.6204108,120.29924759
70,l3eg,珍記手工烙餅 (大灣店),23.0081472,120.2658047
71,ellx,野原親子早晚餐,24.2622718,120.7033242
72,y1vm,黑沃咖啡 (新竹竹北店),24.832033,121.01086014
73,a9bx,秉峯鍋燒店 (雲林虎尾店),23.7068983,120.43177645
74,fdhq,陳媽咪飯糰 (勝利店),22.99112519,120.21771545
75,e5jr,縣政府壽司水丼屋,23.4566724,120.2977459
76,d0pq,一展熱炒,22.6819993,120.4892582
77,hiys,翰林茶館 (竹北遠百店),24.82283891,121.02388341
78,bhuv,小豬麵食館,23.70966969,120.5431133
79,s84l,走心雞蛋糕&BDY (板橋江翠店),25.03277194,121.46570025
80,jhpx,沅樂茶飲,22.6228373,120.331867
81,iyfb,上味食堂（台東總店）,22.7597556,121.1395147
82,c4je,台灣魯肉飯 (嘉義僑平店),23.4838215,120.432529
83,uag9,CoCo都可 (新竹大庄店),24.7896303,120.9278081
84,uu6l,鮮菓奶奶,25.09300925,121.46182362
85,d8dr,卡賀廚房 (台北小巨蛋店),25.0528826,121.5476177
86,b4bf,迷客夏 Milksha (臺中霧峰店),24.06719971,120.6989975
87,x1cl,爭鮮迴轉壽司 (楠梓店),22.727537,120.325342
88,dg4f,八丼食堂,24.6858708,120.9096568
89,d0cq,95平價厚切牛排館,25.14617391,121.7264668
90,mjqa,豆花媽愛上胖狸貓,25.0858913,121.478549
91,x1wg,濠誠牛排,25.0903366,121.46943455
92,cvs8,川業肉圓,25.0367327,121.5012991
93,e0jo,梁社漢排骨 (新莊建福店),25.02694,121.42682746
94,h03m,老賴茶棧 (高雄小港店),22.56681899,120.35321909
95,nor2,繼光香香雞 (羅東民權店),24.67633667,121.76698752
96,hv55,越素蔬食（全素料理）,22.62221323,120.35695134
97,td77,白巷子 (南市安平店),23.00019207,120.16197282
98,syva,阿忠小吃,24.5598041,120.81758991
99,d7hn,炒天下,25.05235874,121.42874715
100,hrif,天菜溫泉雞,25.0846412,121.5669805
101,u2pg,一波漢堡,25.05626145,121.46588345
102,wq62,早安山丘 (旗山延平店),22.8862217,120.4829722
103,o6jn,爭鮮gogo (豐原台鐵店),24.2545966,120.7238708
104,cnkm,麻辣干鍋X雲饕廚房 (台中黎明店),24.1391349,120.637627
105,cbyx,界香青草茶專賣店 (豐原上宜店),24.25355518,120.7163041
106,j4fk,默默咖啡 (彰化華山店),24.0745599,120.541266
107,m44v,灝客美食 (土城金城店),24.9761808,121.4490826
108,d34z,這裡有家牛肉麵,23.9604597,120.5809552
109,jnsq,初肉圓,22.6200898,120.3543067
110,gipp,呷尚寶 (嘉義台林店),23.49833753,120.4552612
111,llcl,杏花亭,22.61999325,120.2706385
112,gha7,海韻複合式餐飲,24.99182294,121.51728189
113,f8rq,日船章魚小丸子 (台中逢甲店),24.1759955,120.645292
114,vxvj,這義方麵pasta,24.80989342,121.03140615
115,g4pv,張媽媽魯肉飯,22.62874814,120.34151043
116,duri,布朗森林,25.18105993,121.4212597
117,x3x2,拿督麻辣臭豆腐 (三民熱河店),22.643889,120.3064128
118,wug6,超神鮮壽司 (台中大肚店),24.1507968,120.5455647
119,s4nl,YAYOI彌生軒 (桃園春日店),25.00881685,121.31174665
120,tpci,高雄渡船頭海之冰,22.6198484,120.27103259
121,pkay,麥味登 (南港軟體園區店),25.05575931,121.6111615
122,hp23,好口味美食 (炒麵 湯麵 粥品),25.02065189,121.41809588
123,utia,吸粉堂過橋米粉 (新竹光華店),24.81748751,120.97430957
124,axn1,月見山沙威瑪 (金門金城店),24.43234692,118.31408283
125,z0lj,NU PASTA (彰化中正店),24.0663577,120.5348102
126,y3gb,金山炒羊肉 (竹北店),24.82349968,121.02700043
127,y1tg,好滋味旗魚米粉,25.0618,121.52899933
128,ta9w,黑沃咖啡 (高雄正忠店),22.64610997,120.33023267
129,t3gg,台灣鮮魚湯 (海佃分店),23.0231403,120.1919698
130,z2op,武林茶 (三重集美店),25.053387,121.4908528
131,t9ox,黑沃咖啡 (民生興安店),25.0561053,121.54525766
132,yakg,肯德基KFC漢堡廚房 (淡水中山二店),25.16983364,121.44451783
133,p6ky,紐力健康早午餐,22.68423767,120.33889338
134,d0kj,美味漢堡早午餐 (竹南光復店),24.68840045,120.8790218
135,kucz,韋美咖啡,24.96537612,121.43206435
136,c0jg,肯德基KFC甜點專賣店 (三重正義店),25.0666989,121.4965574
137,g1rc,晨間廚房 (仁武仁勇店),22.67488677,120.35566415
138,zt5n,現切水果 (千莉水果世界),24.9572636,121.21385554
139,o1ui,九九便當,23.5730463,120.3006647
140,u7kk,台北永和豆漿 (桃園內壢店),24.9800763,121.2540419
141,f1eu,回憶小時候 (楠梓土庫店),22.740086,120.324576
142,yw8k,夏立克綠豆沙專門店 (彰化溪湖店),23.9536433,120.48041512
143,y1sq,台中洪師傅川味麵食館,24.15309906,120.65499878
144,vmsp,悟饕池上飯包 (台南新化店),23.03831896,120.30641157
145,ojh2,麥味登 (左營霞海店),22.6876339,120.3231903
146,jkej,老先覺功夫窯燒鍋 (金門金湖MiNi店),24.44421442,118.41570675
147,kb3z,一碗素意｜素食排骨酥麵線糊,25.0488516,121.5759487
148,ojl9,瀨戶老阿伯肉圓甜不辣,25.04924135,121.45822891
149,bf8k,里歐歐式早午餐 (高雄大社),22.73230715,120.343675
150,m3jw,Q烏龍麵舖,24.8980183,121.2114914
151,w0jm,新月梧桐,24.1335215,120.6631454
152,b9ko,蘋果203早午餐 (豐原豐東店),24.24629974,120.72899628
153,nz2y,微笑QQ義大利麵店 (彰化花壇店),24.0281038,120.54498394
154,d5f1,石石鍋創 (蘆洲集賢店),25.0861503,121.4825102
155,m3yx,橘子廚房 (永康崑山店),23.00596808,120.25850695
156,kr9k,早安堡樓早午餐,25.1777,121.44963457
157,xgsi,春雨茶行,25.06687129,121.49361511
158,q8hw,圓心茶堂,24.0640077,120.5336245
159,oyfh,皇宮冰燻滷味,22.506505,120.3940495
160,kjcm,永和豆漿曾家莊 (三民建工店),22.6488119,120.320607
161,nipd,日初早午餐,23.5567546,120.47267675
162,ukhi,168車路頭油飯,25.07687925,121.4837639
163,f1sq,STARBUCKS 星巴克 (永康中正門市),23.03879039,120.2346768
164,cb7d,啾辣麵線,24.44145204,120.65358642
165,y8qt,蒜翻天 (新莊中和店),25.04976625,121.44713596
166,a4vs,小草然早點 (雲林虎尾店),23.703525,120.42799065
167,qltb,麥味登 (澎湖科大店),23.5745861,119.5806676
168,vaxg,五鮮級鍋物專賣 (竹北環北店),24.8365998,120.9973694
169,a7aw,鼎王麻辣鍋 (台中公益店),24.15094235,120.65138595
170,o57p,小時候飯麵館 (桃園三元店),25.0035047,121.3200549
171,a6pj,OPPA HOUSE 歐巴好食,23.70079594,120.53532839
172,ijaq,暗公鳥吐司、宵夜 (高雄大寮店),22.62176959,120.3798533
173,y633,校門口快餐便當店,23.0396251,120.23931
174,hgib,樂辰早午餐,22.66543285,120.29146585
175,eyil,蕨未咖啡館,25.05790875,121.4329942
176,txl9,鴻源金好吃牛肉麵 (台南富農店),22.9851414,120.2357534
177,e9gq,斑馬騷莎竹北 (文興概念店),24.80927178,121.03117067
178,j7v2,吳傳食舖,24.95882227,121.5381576
179,ofn8,廣食堂 (台南新市店),23.0805995,120.29544078
180,yi4o,古早味油飯 (台南西港店),23.1213262,120.2034316
181,z1tv,喫飽 (新北九芎店),25.07909966,121.46499634
182,ypxi,黑月亮烘焙坊,25.06235615,121.65344265
183,wa5r,天心熱炒,24.95855179,121.5080625
184,c1fn,老蕭意麵,24.11498775,120.68616032
185,d4dv,銅板早午餐,23.97099937,121.60380385
186,g6ci,魯都香 (台麗街總店),25.0382063,121.4243944
187,tnn9,麻咭早午餐,23.03457098,120.2601433
188,kz9u,辦桌小吃店,25.059782,121.4958926
189,n07u,光合作用精選早午餐,23.1630125,120.1728725
190,pxko,惜緣素食,22.4648793,120.4486357
191,e9jn,Louisa 路易莎 (竹東長春店),24.74404195,121.08318894
192,o8j0,萬丹市場肉圓,22.586405,120.4905871
193,y3dt,小豬很忙蔬果滷味 (信義莊敬店),25.0285305,121.5641134
194,dyxh,傳奇車輪燒,23.97901503,120.68594802
195,e6xv,喫茶小舖 (神岡中山店),24.25785211,120.6661326
196,na1a,樂芙健康餐盒&傳統便當,24.2264683,120.5743367
197,e7hk,圓環早點烏龍麵,23.90942959,120.68453715
198,z5hv,Pizza Hut必勝客 (高雄鹽埕店),22.62380255,120.2832945
199,d5gm,麥當勞 (S65 台北北投店),25.13637245,121.50429915
200,vbmr,馬祖奶茶 (八里中山店),25.1470313,121.3984052
201,hdav,樂蝦拉麵 (宏匯廣場店),25.0594957,121.44971475
202,ncg8,岡山黃家春捲,22.7928631,120.2948929
203,a5vp,桶神現滷滷味 (新莊西盛店),25.01779938,121.4280014
204,o5xu,粥師傅廣東粥 (台中東海店),24.18153415,120.59269115
205,kpio,甲拉麵 (台中大雅店),24.22677602,120.64970542
206,miky,太后(厚)豬排,22.58750076,120.38220868
207,q2pz,CoCo 壹番屋咖哩 (蘆洲徐匯店),25.08065835,121.4805322
208,c1xy,挑嘴貓咪早餐店,22.6195474,120.3737171
209,x57a,想食 - 麵食/炸物/焗烤 (台中文心店),24.174277,120.681958
210,f1pw,廟口清燉牛肉麵,22.9957081,120.20184314
211,tqn7,李家紅燒排骨酥湯,25.08398275,121.46564899
212,e9yl,晨間廚房 (民雄福樂店),23.52656012,120.4438721
213,b9ad,日初幸福,24.18222031,120.6895494
214,kx4r,50年塩水意麵,23.0198973,120.22284047
215,k7bi,老猴煙燻滷味 (新北新莊店),25.04546305,121.4550878
216,t6th,早安山丘 (大雅店),23.4772771,120.46665
217,ju0z,弁丸家 (高雄岡山店),22.7929399,120.2951777
218,ph95,吳家紅茶冰 (新北安康店),24.96361778,121.51486044
219,a4qg,迷客夏 Milksha (新北淡大店),25.1775559,121.44859881
220,bdjb,大華牛排 (高雄燕巢店),22.7933017,120.3612439
221,rlrh,豐原排骨麵 (台中嶺東店),24.13450903,120.61137663
222,sv3k,農夫彼得X健康餐盒,25.0822757,121.4956066
223,q8kq,冰封仙果 (桃園新屋店),24.97221095,121.10212432
224,c6kp,92度半咖啡 (台中市政號),24.15798785,120.6386589
225,edru,永貞新村 (新莊中港一店),25.0455368,121.4502488
226,y9ej,銘記蝦仁肉圓,25.0590278,121.5216245
227,d7fc,雙醬咖哩 (台中太平店),24.1488609,120.7181315
228,c0hc,茶漾 (高雄鹽埕埔總店),22.6254755,120.2801327
229,mkmg,享見麵,24.70063614,120.89976031
230,y49o,宜華蛋餅 (麻豆興中店),23.1836761,120.2534742
231,u6wj,焱鬼鍋燒專門店 (嘉義店),23.4827515,120.4626098
232,tpn9,寶島紅茶冰 (宜蘭店),24.7585218,121.7556757
233,twxx,酥鮮主義-蟹殼黃蔥酥餅 (新莊四維店),25.023547,121.423541
234,p2zi,拉亞漢堡 (善化光復店),23.1274951,120.28925229
235,o9gn,深夜食肆 (新北泰山店) -越南美食專賣店,25.05520534,121.4344295
236,an17,Morni莫尼早午餐 (彰化辭修店),24.0853547,120.537822
237,dz7s,鐵厝意麵,25.04355415,121.44481711
238,e4qw,好吃乘雙,25.02187007,121.2626312
239,nxxy,SUBWAY (新莊民安店),25.0241283,121.4252122
240,z2mx,老賴茶棧 (高雄後昌店),22.7089191,120.2974818
241,hfv6,首都碳烤 (新北淡水店),25.1772436,121.4420303
242,nfza,湯掌櫃私房料理,24.30293938,120.73104186
243,xstw,Mister Donut (鳳山大潤發店),22.63365326,120.3551318
244,eder,皇宮大腸麵線,25.0495769,121.554592
245,i3vf,Louisa 路易莎 (新店央北店),24.97780149,121.5268969
246,d8wn,八方雲集 (平鎮文化店),24.9507306,121.2033381
247,r93t,肉桂捲 シナモンロール 製作所 (雙連門市),25.0583064,121.5191329
248,bdx5,石饕鐵板低卡餐盒坊 (中科福雅店),24.1848912,120.6192323
249,e0hl,早安公雞農場晨食 (烏日中華店),24.11118238,120.6372589
250,ddjb,老先覺麻辣窯燒鍋 (雲林麥寮MiNi店),23.7454987,120.25610285
251,ejni,華 甜甜圈甜點店,25.0299817,121.51568148
252,p8sc,默沫手作飲品 (嘉義朴子店),23.46323497,120.24299073
253,town,鮨島日式料理店,23.976261,120.68774597
254,xsyg,Pasta Hut義大利麵 (台中雅潭店),24.2213013,120.6493426
255,b1uk,蓁仕堡早餐店,24.1782463,120.66468335
256,laho,秉豐鍋燒麵 (嘉義海通店),23.46385,120.24020535
257,zezc,港款赤肉焿,25.0442776,121.4252367
258,dh9b,Pasta Hut義大利麵 (林口長庚店),25.05641935,121.36346845
259,e1ko,cama café (高雄光遠店),22.6260094,120.35934175
260,i9no,馬祖麵館,25.04206375,121.55472849
261,eqfm,滿鎰早食,22.9827291,120.19494614
262,e0zg,弘爺漢堡 (台中世華店),24.14448436,120.70551535
263,y1wa,YOLO's Cafe (台北芝山店),25.10429955,121.52300262
264,co8z,弘爺漢堡 (大仁北店),22.7987215,120.3022099
265,x2js,茶聚 (中和福美店),25.004938,121.496846
266,f2sh,弘爺漢堡 (新市銘傳店),23.0742628,120.2902983
267,fyap,鮮旺鍋燒麵 (台東正氣店),22.75298337,121.1509955
268,vtw7,韓老爺台式拌麵,24.958175,121.2445209
269,rb8x,老葉牛肉麵,24.6799264,121.7734995
270,lk1r,碧玉火鍋,23.4456629,120.4800224
271,q5tl,一手私藏世界紅茶 (三重三和店),25.0673285,121.50079926
272,a3jz,摩斯漢堡Mos Burger (樹林店),24.99099922,121.42299652
273,hxrp,小羽茶坊,24.2127505,120.55140015
274,ydwr,漢堡大師 (豐原翁子店),24.2626212,120.7403781
275,h8mo,早到甜早午餐,25.0236442,121.41831803
276,igqx,海底撈小火鍋 (高雄巨蛋店),22.66970566,120.3016867
277,x75b,金橙牛肉麵,24.44158996,118.32150797
278,ulu5,Pizza Hut必勝客披薩專賣店 (苗栗銅鑼外送店),24.484356,120.786967
279,nrvm,東北角魯肉飯,24.755917,121.75701867
280,e3oe,集客現炒館,24.18157833,120.5923626
281,yguk,迷客夏 Milksha (桃園內壢忠孝店),24.9740077,121.2562695
282,ubpr,游泰泰,24.2244625,120.57545094
283,z0ub,櫻鴨館,25.17321728,121.44080958
284,m2dq,和堂丼飯專賣店,22.6763583,120.5032615
285,di9e,Buddy Burger Lab.,24.8051184,120.9689893
286,j4am,斑鳩的窩 (台南仁德店),22.97277592,120.2460808
287,y3rq,摩斯漢堡Mos Burger (永康中華店),23.00851824,120.23370027
288,jpy4,寬媽媽滷味,24.2285288,120.5741655
289,czs6,透早晨午廚房,24.1822754,120.67185807
290,eco3,歐麥微風雅廚複合餐飲,25.0252347,121.4237705
291,yrmv,真好早餐,23.5682444,120.30236006
292,e7cn,六扇門 (高雄十全店),22.64504321,120.30838033
293,b7av,老先覺功夫窯燒鍋 (淡水沙崙MiNi店),25.18115345,121.4209752
294,lrkz,萃茶風健康餐 (蘆洲光復店),25.0857374,121.4644615
295,fv9n,濟家飯莊,24.17585,120.7188766
296,tcqv,孫東寶 (大寮鳳林店),22.60851165,120.39481545
297,y0jm,Art Lynn 無己之凡生活空間,24.17746501,120.63394495
298,d5yx,古早飯堂,24.1531132,120.66174395
299,xo84,老潮派鑄鐵鍋燒 (左營軍校店),22.7058176,120.2931168
300,dj73,50嵐 (員林中正店),23.95386785,120.57478975
301,f6ri,美美鮮果汁&情人果,25.16911015,121.44309155
302,b6wb,麥當勞 (S153 高雄右昌店),22.70986618,120.29283903
303,h2x6,白帝城川式滷味 (台中逢甲店),24.18002379,120.64607245
304,gbhl,五桐號 WooTEA (三民鼎山店),22.6524517,120.31816166
305,rroh,陳涼麵,24.95207395,121.50474138
306,zy8u,城市漢堡 (嘉義興美店),23.4584737,120.4460095
307,b0xq,暮香炭烤土司 (台中大業店),24.15355191,120.6543481
308,tegl,福田大阪燒,22.61999601,120.3080909
309,mkp4,佑佑鍋燒麵 (楠梓朝明店),22.7257685,120.3254395
310,qius,榕樹下炒飯炒麵專賣店,22.5465664,120.3772132
311,e712,新品悅麵線臭豆腐,25.01473016,121.51717495
312,y9kr,HN鉿鈉冰品熱飲,24.82670563,121.00850652
313,y2lw,85度C (全興明志店),25.0585933,121.4309125
314,hjc6,鴻林軒餡餅,25.0788727,121.47478717
315,a8pk,綸現炒,23.47724819,120.46704384
316,eflb,呷尚寶 (萬丹成功店),22.5931892,120.4906984
317,vwul,Pasta Hut義大利麵 (內壢中園店),24.9681302,121.23615835
318,b3fw,超吉大盛鐵板燒丼飯(台中黎明店),24.1431102,120.63753005
319,z4qn,21PLUS、21風味館 (頭份尚順門市),24.68950461,120.90431043
320,zh4r,昱見中式點心,24.9803562,121.5469419
321,l73u,三哥腿庫飯,24.69034428,120.9128992
322,bsdd,大廟厚切牛排 (竹北店),24.8352728,121.0085509
323,b5tu,貞粥道,22.68757992,120.4845433
324,x9b3,DRIN KING 飲品制作所,24.81209872,121.02539626
325,hl8w,一兩餃子,22.73087339,120.37265958
326,xlli,清心福全 (新竹明湖店),24.7881165,120.9672974
327,ylj8,n25 爾吾茶飲專門概念店 (台中勤美店),24.1490699,120.66233009
328,b0pa,雞排本色 (台中霧峰店),24.0629431,120.69689842
329,f4kl,大碗公冰·甜品 (花蓮博愛店),23.97845504,121.60565443
330,d0zd,八方雲集 (斗六中山店),23.69974401,120.53818417
331,sw5c,麥味登 (三峽大同店),24.9270781,121.3710449
332,kfva,Mr.papa x Ray Cafe,25.0408406,121.55179734
333,y3p0,Pasta Hut義大利麵 (高雄五甲店),22.59226748,120.32688909
334,ypkw,早安 ! 可口美,23.015261,120.27293142
335,azp8,三商巧福 (4328中港二店),24.18391679,120.614985
336,t2io,祖傳魷魚羹（新莊總店）,25.0270059,121.42854445
337,okwm,3柒21 手作茶飲,22.56990287,120.36083696
338,mqtp,阿公現流仔海魚,24.800909,120.9861904
339,fas7,7700均食餐盒 健康餐,25.0569902,121.45067085
340,fb3o,Just Like This Café,25.09463136,121.7136431
341,kp2n,金玉素食,23.4731762,120.4316716
342,r9n0,品果品果蔬食午晚餐,22.62619655,120.28324375
343,zwk4,古意奶茶 (平鎮山仔頂店),24.89962149,121.2109017
344,lp6o,森耳露 黑木耳露,25.12931785,121.74390672
345,c7np,香港財哥快餐,25.1767758,121.4428902
346,u9xe,千香漢堡 (仁德中正店),22.9665349,120.2532177
347,i2h0,松本鮮奶茶 (梓官大舍南店),22.73842915,120.2650651
348,a0sh,林家粉圓 (嘉義後庄店),23.454251,120.459536
349,y5qb,呈信傳統鵝肉店 (永和永貞店),25.00424715,121.5163397
350,ckv5,吳家紅茶冰 (草屯和興店),23.97875992,120.68505654
351,e2aw,50嵐 (南勢角店),24.98962815,121.51259208
352,gd4i,榮驛餃子麵館,23.99575712,121.62971571
353,menz,雪花大餛飩,24.18190975,120.64501252
354,ruv6,肯德基KFC甜點專賣店 (中壢中和店),24.9542713,121.22576191
355,e4jw,85度C (苗栗府東店),24.56281201,120.82138104
356,vt4p,市場這一攤 東南亞的味,25.06595683,121.64090458
357,duxm,早安有喜 (台中模範店),24.1481397,120.6667762
358,yp6e,豚將拉麵 (雲林麥寮店),23.75326366,120.2520965
359,aidv,摩斯漢堡Mos Burger (彰化中正店),24.0807565,120.5389179
360,ov1h,炸雞大獅 (澎湖文化店),23.5686275,119.56757104
361,y2pb,小屋頂早午晚餐,24.82078045,120.9741533
362,c36b,騰之雞排專門店 (仁武中華店),22.69815595,120.34810172
363,xvep,搖滾鮮奶茶 (林園東林西店),22.503242,120.3906135
364,n2zz,清心福全 (楊梅富岡店),24.93511142,121.08662743
365,d2oc,橘子熊早午餐,24.22900009,120.5739975
366,vyeg,菁採生活,24.5705889,120.8261694
367,fghr,圓味壽司 (高雄湖內店),22.90698463,120.21731325
368,vfqs,義式88杯麵 (彰化大埔店),24.0661181,120.5428062
369,fb10,梅田屋日式料理,24.2535923,120.7338565
370,jhs6,萬萬營養早餐,24.8253692,121.0095288
371,fyoq,晨間廚房 (台南仁和店),22.9697851,120.2342431
372,v0sj,豆豆玲脆皮紅豆餅後勁店,22.7193027,120.31100361
373,yltk,幸福早午餐,22.6599928,120.51250096
374,hwwn,可不可熟成紅茶 (鳳山光遠店),22.625686,120.361521
375,hq6v,豆哥牛排(永康復國店),23.0124074,120.2464732
376,k6yy,清原芋圓 (台中大墩店),24.14322347,120.64991657
377,ff7u,Mister Donut (台南高鐵門市),22.9246619,120.2855892
378,tzzt,虎尾茶桶冷飲,23.71074753,120.43472002
379,pagh,豪爺港茶 (台南裕農店),22.986383,120.2280955
380,c9dy,味亦美 (汐止汐萬店),25.0878619,121.6469018
381,hf72,八茗茶,25.03701,121.4520517
382,aqhe,天橋下北港李生炒羊肉,25.06977305,121.4975123
383,z6nd,老客馥粥品 (新莊富國店),25.02444135,121.42458099
384,z8xj,繼光香香雞 (勤美誠品店),24.1514542,120.66388
385,s29y,老賴茶棧 (中壢新明店),24.9584034,121.2148
386,f20x,四川一品麻辣,25.1791978,121.4430793
387,ua3i,阿忠冰店 (新竹西大店),24.7956381,120.971352
388,n2uw,鄭字記號（原鄭家油飯肉粽）,24.17423985,120.57876376
389,s91z,史艷文羹麵,25.01904722,121.421962
390,c67j,馥麗晴園輕食館,25.14676504,121.70780996
391,uhcs,哈燒喀,22.6349251,120.2892755
392,ei9c,三代同糖手炒黑糖飲,22.50788985,120.39225936
393,dfoe,我幫你煮泡麵,23.9785394,121.6070903
394,e3bd,弘爺漢堡 (彰化文臻店),24.08535363,120.5779804
395,ocra,樂法 (高雄三多店),22.6148166,120.3071688
396,engq,日十早午餐（台南小北店）,23.00528349,120.20552602
397,jxy0,新村八號,23.70757483,120.43504306
398,a9kb,老爺魯肉飯,23.71549177,120.4365897
399,awih,諸君早安,24.9658643,121.2523531
400,vao5,閣再來鍋燒意麵 (台南安和店),23.03389002,120.21260954
401,rdmq,吃什麼 炒飯 炒麵 熱炒類,22.6290636,120.3275207
402,o7ym,正義蚵仔麵線 (高雄大昌店),22.65285595,120.3282067
403,fh0y,夯99燒烤,24.14797531,120.62306281
404,xkja,GOGOBUS 元氣巴士,24.1543473,120.6659707
405,c2aa,山川咖喱 (民生店),24.1442876,120.6690269
406,u0al,弘爺漢堡 (高雄林園店),22.5053985,120.3924124
407,a2vj,鮮茶道 (彰化彰美店),24.0896086,120.5367939
408,l930,六味津麵線,25.1113,121.5288
409,l5wg,南方米造,23.18378333,120.2413068
410,z8rt,85度C (基隆樂一店),25.1318401,121.73468705
411,z2ze,肯德基KFC炸雞漢堡店 (高雄楠梓二店),22.72695565,120.32680424
412,l8fl,三商巧福 (4327台中豐原店),24.2534454,120.72218175
413,kal1,盒子裝飯 (竹北三民店),24.833403,121.0114342
414,tbtx,找蒔光早午餐輕食,22.8934407,120.479757
415,ck09,Wowtea,24.13662963,120.67032735
416,hfjg,川醉湘 (桃園大園店),25.0640638,121.1970414
417,esj4,喝爆茶飲 (桃園瑋庄店),24.9924883,121.3113002
418,e1dz,弘爺漢堡 (安南海東店),23.04399905,120.19324105
419,dv9v,京蒲和食,23.5742055,119.5732824
